filename,width,height,class,xmin,ymin,xmax,ymax
20200121_112317.jpg,4032,2268,Nut,1323,1108,1472,1233
20200121_112317.jpg,4032,2268,Nut,1326,920,1506,1080
20200121_112317.jpg,4032,2268,Nut,1515,1108,1672,1276
20200121_112317.jpg,4032,2268,Nut,1874,835,2030,1027
20200121_112317.jpg,4032,2268,FinishedAssembly,1011,1314,1451,1714
20200121_112317.jpg,4032,2268,Bolt,1830,1154,2068,1576
20200121_112317.jpg,4032,2268,Washer,2166,1222,2321,1369
20200121_112317.jpg,4032,2268,Washer,2249,1114,2387,1216
20200121_112317.jpg,4032,2268,Washer,2313,1014,2426,1129
20200121_112317.jpg,4032,2268,Washer,2419,1093,2551,1235
20200121_112317.jpg,4032,2268,Bolt,1309,635,1566,895
20200121_112317.jpg,4032,2268,FinishedAssembly,1621,676,1826,1033
20200121_112317.jpg,4032,2268,Bolt,2055,627,2326,939
20200121_093949.jpg,4032,2268,FinishedAssembly,1930,689,2454,1278
20200121_093949.jpg,4032,2268,Bolt,2518,925,3383,1283
20200121_093949.jpg,4032,2268,Nut,1742,872,2060,1113
20200121_093949.jpg,4032,2268,Bolt,1760,1354,2348,1642
20200121_093954.jpg,4032,2268,Bolt,1954,72,2495,731
20200121_093954.jpg,4032,2268,FinishedAssembly,1607,383,1860,1125
20200121_093954.jpg,4032,2268,Nut,1358,835,1643,1109
20200121_093954.jpg,4032,2268,Bolt,1580,1035,2018,1654
20200121_093925.jpg,4032,2268,FinishedAssembly,2289,525,2665,1219
20200121_093925.jpg,4032,2268,Nut,2401,1389,2630,1772
20200121_093925.jpg,4032,2268,Nut,1977,895,2295,1178
20200121_093925.jpg,4032,2268,Nut,2671,1295,2871,1489
20200121_093925.jpg,4032,2268,Nut,2865,1183,3065,1419
20200121_093947.jpg,4032,2268,Bolt,2065,548,2895,1089
20200121_093947.jpg,4032,2268,Nut,1360,642,1630,883
20200121_093947.jpg,4032,2268,FinishedAssembly,1548,413,2030,1054
20200121_093947.jpg,4032,2268,Bolt,1318,1160,1871,1519
20200121_093947.jpg,4032,2268,Nut,677,1472,860,1672
20200121_093947.jpg,4032,2268,Nut,1089,1854,1295,2089
20200121_093947.jpg,4032,2268,Nut,1024,2083,1371,2242
20200121_093935.jpg,4032,2268,FinishedAssembly,1785,746,2177,1194
20200121_093935.jpg,4032,2268,Nut,1647,861,1847,1024
20200121_093935.jpg,4032,2268,Nut,1932,1354,2092,1542
20200121_093935.jpg,4032,2268,Nut,2069,1376,2303,1620
20200121_093935.jpg,4032,2268,Nut,1706,1342,1895,1528
20200121_093956.jpg,4032,2268,Bolt,3013,195,3601,954
20200121_093956.jpg,4032,2268,FinishedAssembly,2554,513,2854,1307
20200121_093956.jpg,4032,2268,Nut,2336,966,2565,1272
20200121_093956.jpg,4032,2268,Bolt,2524,1236,3077,1813
20200121_093853.jpg,4032,2268,FinishedAssembly,1989,1007,2730,2048
20200121_093957.jpg,4032,2268,Bolt,2565,1,3354,607
